iter	Logloss
0	0.6437159769
1	0.5919094166
2	0.5532845054
3	0.5164069935
4	0.4876617726
5	0.4570933254
6	0.4276636121
7	0.4024977907
8	0.3766360559
9	0.3637830493
10	0.345145637
11	0.3254914604
12	0.3116157791
13	0.296284741
14	0.2826448459
15	0.2730497724
16	0.2638872972
17	0.2539572881
18	0.2448595119
19	0.2379133287
20	0.2300862815
21	0.2233888373
22	0.2169838788
23	0.2122150414
24	0.2063704559
25	0.2010979442
26	0.1972829596
27	0.1941084934
28	0.1909306875
29	0.1876576843
30	0.1847784018
31	0.1822093048
32	0.1794675464
33	0.1768822469
34	0.1746228721
35	0.1721581792
36	0.1698737165
37	0.167618148
38	0.1658677983
39	0.1641544215
40	0.1623710159
41	0.1608670704
42	0.1598779247
43	0.1585590866
44	0.1576219218
45	0.1566654833
46	0.1556675201
47	0.1544257118
48	0.1535194077
49	0.1523946019
50	0.1515723467
51	0.1506667173
52	0.1497621232
53	0.1491872401
54	0.148784785
55	0.1478271072
56	0.1471656254
57	0.1465322804
58	0.1458467055
59	0.1453248011
60	0.1450138746
61	0.1444530426
62	0.1439686987
63	0.1436831799
64	0.1432516758
65	0.1428785353
66	0.1425453353
67	0.1419525639
68	0.141619065
69	0.1409990022
70	0.140476212
71	0.140097593
72	0.1395759603
73	0.1391628906
74	0.1387587779
75	0.1381559723
76	0.1377972132
77	0.1374860195
78	0.1370301719
79	0.1367140441
80	0.1362803547
81	0.1356135778
82	0.135254733
83	0.1348506285
84	0.1344730793
85	0.1340408428
86	0.1339043625
87	0.1335105022
88	0.1333060432
89	0.1329307439
90	0.1325285271
91	0.132294762
92	0.1321040066
93	0.1319460976
94	0.1316299704
95	0.1313388214
96	0.1309013164
97	0.1304898728
98	0.1302685346
99	0.1300647428
100	0.1299739586
101	0.1298853591
102	0.1296313611
103	0.1291790579
104	0.128861441
105	0.1286266988
106	0.1285234112
107	0.1283706922
108	0.1281370927
109	0.1279510925
110	0.1277915268
111	0.1275974714
112	0.1274075178
113	0.1271356366
114	0.1267950088
115	0.1264569779
116	0.1263570604
117	0.1261055546
118	0.1259040954
119	0.1256226899
120	0.1254120797
121	0.1251645553
122	0.1250423247
123	0.1248504652
124	0.1245129775
125	0.1243534229
126	0.1242691294
127	0.1239772906
128	0.1237446315
129	0.1234371483
130	0.1232797468
131	0.1232158681
132	0.1230812542
133	0.1229395588
134	0.122675718
135	0.1225284767
136	0.1224195362
137	0.1222223133
138	0.1221087972
139	0.1220220703
140	0.1218960363
141	0.1218070266
142	0.1215995212
143	0.1212748674
144	0.1212340549
145	0.1209903654
146	0.1207409101
147	0.120564307
148	0.1204771629
149	0.1203497623
150	0.1202219848
151	0.1200996757
152	0.1199151595
153	0.119753502
154	0.1196858382
155	0.1195005101
156	0.1194015401
157	0.119293687
158	0.1191311647
159	0.1189651354
160	0.1186355535
161	0.1185653647
162	0.1184412974
163	0.1183847023
164	0.1183288165
165	0.1181647207
166	0.1179548936
167	0.117807952
168	0.1176595366
169	0.1174476463
170	0.1173675734
171	0.117325331
172	0.1171802171
173	0.1171263705
174	0.1171057292
175	0.1170067501
176	0.1168941906
177	0.1168490775
178	0.1167015817
179	0.1166249083
180	0.1165937437
181	0.1165448006
182	0.1163925589
183	0.1163012386
184	0.1161383556
185	0.1160579461
186	0.1159637265
187	0.1158066642
188	0.1157454231
189	0.1154080185
190	0.1153635566
191	0.1153072458
192	0.1151845073
193	0.1151059527
194	0.1148567139
195	0.1146813504
196	0.1146472436
197	0.1144567921
198	0.1143487172
